product_id,route_No,equ_name,start,duration,end
P202201101,1,Z-1002,16.0,4.0,20.0
P202201101,2,JM-3004,89.03333333333333,8.0,97.03333333333333
P202201101,3,Y-2045,97.03333333333333,1.6,98.63333333333334
P202201101,4,DI-4008,105.43333333333334,64.0,169.43333333333334
P202201101,5,JM-3001,169.43333333333334,5.0,174.43333333333334
P202201101,6,Y-2045,174.43333333333334,1.6,176.03333333333333
P202201101,7,JH-3004,176.03333333333333,5.833333333333333,181.86666666666667
P202201101,8,Y-2045,181.86666666666667,1.6,183.46666666666667
P202201101,9,JM-3001,183.46666666666667,6.666666666666667,190.13333333333333
P202201101,10,Y-2045,190.13333333333333,1.6,191.73333333333332
P202201101,11,JM-3002,192.63333333333333,6.333333333333333,198.96666666666667
P202201101,12,Y-2045,198.96666666666667,1.6,200.56666666666666
P202201101,13,DI-4008,218.0,64.0,282.0
P202201102,1,Z-1001,56.0,4.0,60.0
P202201102,2,JM-3009,96.1,3.3333333333333335,99.43333333333334
P202201102,3,Y-2045,99.43333333333334,0.8,100.23333333333333
P202201102,4,JH-3004,102.63333333333334,6.666666666666667,109.3
P202201102,5,Y-2045,109.3,0.8,110.1
P202201102,6,JM-3011,110.73333333333333,5.0,115.73333333333333
P202201102,7,Y-2045,115.73333333333333,0.8,116.53333333333333
P202201102,8,JM-3002,119.6,4.0,123.6
P202201102,9,Y-2045,123.6,0.8,124.4
P202201102,10,JH-3006,124.4,3.6666666666666665,128.06666666666666
P202201102,11,Y-2045,128.06666666666666,0.8,128.86666666666667
P202201102,12,JM-3008,128.86666666666667,7.0,135.86666666666667
P202201102,13,Y-2045,135.86666666666667,0.8,136.66666666666666
P202201102,14,DI-4013,241.7,32.0,273.7
P202201103,1,Z-1002,20.0,4.0,24.0
P202201103,2,JM-3011,28.466666666666665,3.3333333333333335,31.8
P202201103,3,Y-2045,31.8,0.8,32.6
P202201103,4,JH-3005,69.16666666666667,6.666666666666667,75.83333333333333
P202201103,5,Y-2045,75.83333333333333,0.8,76.63333333333334
P202201103,6,JM-3008,77.9,5.0,82.9
P202201103,7,Y-2045,82.9,0.8,83.7
P202201103,8,JM-3012,83.7,4.0,87.7
P202201103,9,Y-2045,87.7,0.8,88.5
P202201103,10,JH-3002,91.86666666666666,3.6666666666666665,95.53333333333333
P202201103,11,Y-2045,95.53333333333333,0.8,96.33333333333333
P202201103,12,JM-3001,124.53333333333333,7.0,131.53333333333333
P202201103,13,Y-2045,131.53333333333333,0.8,132.33333333333334
P202201103,14,DI-4014,152.03333333333333,32.0,184.03333333333333
P202201104,1,Z-1001,60.0,4.0,64.0
P202201104,2,JM-3004,100.6,3.0,103.6
P202201104,3,Y-2045,103.6,0.4,104.0
P202201104,4,JH-3002,104.1,6.0,110.1
P202201104,5,Y-2045,110.1,0.4,110.5
P202201104,6,JM-3003,111.53333333333333,5.0,116.53333333333333
P202201104,7,Y-2045,116.53333333333333,0.4,116.93333333333334
P202201104,8,JM-3010,122.03333333333333,4.0,126.03333333333333
P202201104,9,Y-2045,126.03333333333333,0.4,126.43333333333334
P202201104,10,DI-4012,368.06666666666666,16.0,384.06666666666666
P202201104,11,JH-3002,384.06666666666666,3.3333333333333335,387.4
P202201104,12,Y-2045,387.4,0.4,387.8
P202201104,13,JM-3010,387.8,6.666666666666667,394.46666666666664
P202201104,14,Y-2045,394.46666666666664,0.4,394.8666666666667
P202201104,15,DI-4011,394.8666666666667,16.0,410.8666666666667
P202201105,1,Z-1001,72.0,4.0,76.0
P202201105,2,JM-3002,100.66666666666667,3.3333333333333335,104.0
P202201105,3,Y-2045,104.0,1.6,105.6
P202201105,4,JH-3001,119.76666666666667,6.666666666666667,126.43333333333334
P202201105,5,Y-2045,126.43333333333334,1.6,128.03333333333333
P202201105,6,JM-3006,135.9,5.0,140.9
P202201105,7,Y-2045,140.9,1.6,142.5
P202201105,8,JM-3009,164.4,4.0,168.4
P202201105,9,Y-2045,168.4,1.6,170.0
P202201105,10,JH-3001,172.96666666666667,3.6666666666666665,176.63333333333333
P202201105,11,Y-2045,176.63333333333333,1.6,178.23333333333332
P202201105,12,JM-3009,179.0,7.0,186.0
P202201105,13,Y-2045,186.0,1.6,187.6
P202201105,14,DI-4002,244.8,64.0,308.8
P202201106,1,Z-1002,56.0,4.0,60.0
P202201106,2,JM-3012,146.43333333333334,3.0,149.43333333333334
P202201106,3,Y-2045,149.43333333333334,1.6,151.03333333333333
P202201106,4,JH-3001,189.6,6.0,195.6
P202201106,5,Y-2045,195.6,1.6,197.2
P202201106,6,JM-3008,199.46666666666667,5.0,204.46666666666667
P202201106,7,Y-2045,204.46666666666667,1.6,206.06666666666666
P202201106,8,JM-3011,206.06666666666666,4.0,210.06666666666666
P202201106,9,Y-2045,210.06666666666666,1.6,211.66666666666666
P202201106,10,DI-4007,477.1333333333333,64.0,541.1333333333333
P202201106,11,JH-3003,541.1333333333333,3.3333333333333335,544.4666666666667
